Year ,Month,USD
2015,January,131.55
2015,February,132.73
2015,March,132.90
2015,April,132.90
2015,May,133.50
2015,June,133.90
2015,July,133.69
2015,August,133.88
2015,September,138.88
2015,October,140.89
2015,November,142.02
2015,December,143.45
2016,January,143.94
2016,February,143.93
2016,March,143.96
2016,April,143.90
2016,May,145.65
2016,June,145.28
2016,July,145.41
2016,August,145.60
2016,September,145.78
2016,October,146.87
2016,November,147.77
2016,December,148.88
2017,January,150.09
2017,February,150.82
2017,March,151.43
2017,April,151.76
2017,May,152.33
2017,June,152.83
2017,July,153.67
2017,August,153.19
2017,September,152.90
2017,October,153.53
2017,November,153.66
2017,December,153.15
2018,January,153.80
2018,February,154.86
2018,March,155.73
2018,April,156.14
2018,May,157.90
2018,June,159.07
2018,July,159.34
2018,August,160.35
2018,September,164.42
2018,October,171.22
2018,November,176.85
2018,December,180.10
2019,January,182.13
2019,February,178.73
2019,March,178.43
2019,April,174.80
2019,May,176.44
2019,June,176.59
2019,July,175.99
2019,August,177.97
2019,September,180.78
2019,October,181.45
2019,November,180.37
2019,December,181.25
2020,January,181.40
2020,February,181.56
2020,March,185.06
2020,April,193.09
2020,May,187.87
2020,June,185.95
2020,July,185.85
2020,August,184.89
2020,September,185.03
2020,October,184.44
2020,November,184.79
2020,December,187.18
2021,January,190.49
2021,February,194.07
2021,March,196.98
2021,April,197.42
2021,May,199.58
2021,June,199.82
2021,July,199.98
2021,August,200.50
2021,September,201.99
2021,October,201.09
2021,November,201.86
2021,December,201.40
2022,January,201.46
2022,February,201.74
2022,March,255.81
2022,April,319.44
2022,May,358.94
2022,June,360.24
2022,July,360.87
2022,August,361.00
2022,September,362.38
2022,October,363.15
2022,November,363.39
2022,December,363.17
2023,January,362.42
2023,February,361.98
2023,March,329.47
2023,April,321.42
2023,May,310.16
2023,June,301.26
2023,July,319.29
2023,August,321.58
2023,September,322.77
2023,October,324.73
2023,November,328.25
2023,December,326.74
2024,January,321.17
2024,February,312.58
2024,March,305.66
2024,April,299.42
2024,May,299.69
2024,June,303.81
2024,July,303.76
2024,August,300.67
2024,September,301.15
2024,October,293.79
2024,November,292.01
2024,December,291.68
