Month,Year,Product,Volume,FOB_value_000,"Avg_FOB
"
Jan,2015.00,Coconut Oil,297.00,1582.91,5330.00
Feb,2015.00,Coconut Oil,920.00,5155.27,5604.00
Mar,2015.00,Coconut Oil,858.00,4861.04,5666.00
Apr,2015.00,Coconut Oil,780.00,4549.35,5833.00
May,2015.00,Coconut Oil,847.00,5226.68,6171.00
Jun,2015.00,Coconut Oil,805.00,4023.98,4999.00
Jul,2015.00,Coconut Oil,849.00,4749.60,5594.00
Aug,2015.00,Coconut Oil,635.00,3546.89,5586.00
Sept,2015.00,Coconut Oil,836.00,3878.23,4639.00
Oct,2015.00,Coconut Oil,783.00,3674.82,4693.00
Nov,2015.00,Coconut Oil,496.00,2598.01,5238.00
Dec,2015.00,Coconut Oil,573.00,2665.36,4652.00
Jan,2016.00,Coconut Oil,559.00,2779.45,4972.00
Feb,2016.00,Coconut Oil,387.00,1497.03,3868.00
Mar,2016.00,Coconut Oil,654.00,2345.54,3586.00
Apr,2016.00,Coconut Oil,455.00,1521.13,3343.00
May,2016.00,Coconut Oil,593.00,2209.84,3727.00
Jun,2016.00,Coconut Oil,479.00,1890.00,3946.00
Jul,2016.00,Coconut Oil,630.00,2119.79,3365.00
Aug,2016.00,Coconut Oil,714.00,2588.82,3626.00
Sept,2016.00,Coconut Oil,678.00,2361.06,3482.00
Oct,2016.00,Coconut Oil,763.00,2549.69,3342.00
Nov,2016.00,Coconut Oil,567.00,2236.64,3945.00
Dec,2016.00,Coconut Oil,615.00,1981.16,3221.00
Jan,2017.00,Coconut Oil,593.00,2148.35,3623.00
Feb,2017.00,Coconut Oil,565.00,1966.08,3480.00
Mar,2017.00,Coconut Oil,832.00,3266.00,3925.00
Apr,2017.00,Coconut Oil,584.00,2108.70,3611.00
May,2017.00,Coconut Oil,482.00,1995.47,4140.00
Jun,2017.00,Coconut Oil,382.00,1706.70,4468.00
Jul,2017.00,Coconut Oil,680.00,2589.16,3808.00
Aug,2017.00,Coconut Oil,556.00,2169.14,3901.00
Sept,2017.00,Coconut Oil,453.00,1994.88,4402.00
Oct,2017.00,Coconut Oil,384.00,1657.53,4316.00
Nov,2017.00,Coconut Oil,535.00,2318.02,4333.00
Dec,2017.00,Coconut Oil,264.00,1118.88,4238.00
Jan,2018.00,Coconut Oil,329.00,1545.10,4696.00
Feb,2018.00,Coconut Oil,321.00,1516.98,4726.00
Mar,2018.00,Coconut Oil,491.00,2277.38,4638.00
Apr,2018.00,Coconut Oil,267.00,1231.20,4611.00
May,2018.00,Coconut Oil,415.00,1655.22,3992.00
Jun,2018.00,Coconut Oil,338.00,1494.61,4422.00
Jul,2018.00,Coconut Oil,311.00,1399.60,4500.00
Aug,2018.00,Coconut Oil,534.00,1941.01,3635.00
Sept,2018.00,Coconut Oil,465.00,1505.11,3237.00
Oct,2018.00,Coconut Oil,449.00,1513.56,3371.00
Nov,2018.00,Coconut Oil,329.00,1280.13,3891.00
Dec,2018.00,Coconut Oil,357.00,1300.09,3642.00
Jan,2019.00,Coconut Oil,323.00,910.57,2819.00
Feb,2019.00,Coconut Oil,127.00,558.57,4398.00
Mar,2019.00,Coconut Oil,296.00,984.58,3326.00
Apr,2019.00,Coconut Oil,234.00,767.00,3278.00
May,2019.00,Coconut Oil,323.00,1026.80,3179.00
Jun,2019.00,Coconut Oil,277.00,763.29,2756.00
Jul,2019.00,Coconut Oil,492.00,1085.64,2207.00
Aug,2019.00,Coconut Oil,262.00,730.88,2790.00
Sept,2019.00,Coconut Oil,308.00,911.26,2959.00
Oct,2019.00,Coconut Oil,298.00,690.84,2318.00
Nov,2019.00,Coconut Oil,340.00,945.21,2780.00
Dec,2019.00,Coconut Oil,776.00,1270.86,1638.00
Jan,2020.00,Coconut Oil,397.00,825.03,2077.00
Feb,2020.00,Coconut Oil,297.00,821.63,2766.00
Mar,2020.00,Coconut Oil,275.00,697.53,2536.00
Apr,2020.00,Coconut Oil,241.00,536.22,2225.00
May,2020.00,Coconut Oil,491.00,1204.79,2454.00
Jun,2020.00,Coconut Oil,439.00,1228.28,2798.00
Jul,2020.00,Coconut Oil,541.00,1709.54,3160.00
Aug,2020.00,Coconut Oil,629.00,1762.36,2802.00
Sept,2020.00,Coconut Oil,559.00,1634.04,2923.00
Oct,2020.00,Coconut Oil,563.00,1606.19,2853.00
Nov,2020.00,Coconut Oil,468.00,1401.57,2995.00
Dec,2020.00,Coconut Oil,280.00,804.26,2872.00
Jan,2021.00,Coconut Oil,211.00,747.13,3541.00
Feb,2021.00,Coconut Oil,344.00,990.89,2880.00
Mar,2021.00,Coconut Oil,348.00,1128.75,3244.00
Apr,2021.00,Coconut Oil,228.00,713.79,3131.00
May,2021.00,Coconut Oil,269.00,929.58,3456.00
Jun,2021.00,Coconut Oil,496.00,1349.27,2720.00
Jul,2021.00,Coconut Oil,311.00,1011.76,3253.00
Aug,2021.00,Coconut Oil,257.00,862.09,3354.00
Sept,2021.00,Coconut Oil,164.00,576.16,3513.00
Oct,2021.00,Coconut Oil,504.00,1410.66,2799.00
Nov,2021.00,Coconut Oil,405.00,1079.84,2666.00
Dec,2021.00,Coconut Oil,288.00,861.61,2992.00
Jan,2022.00,Coconut Oil,254.00,667.04,2626.00
Feb,2022.00,Coconut Oil,220.00,580.75,2640.00
Mar,2022.00,Coconut Oil,507.00,1365.13,2693.00
Apr,2022.00,Coconut Oil,211.00,584.27,2769.00
May,2022.00,Coconut Oil,616.00,1744.20,2831.00
Jun,2022.00,Coconut Oil,824.00,2144.82,2603.00
Jul,2022.00,Coconut Oil,509.00,1403.39,2757.00
Aug,2022.00,Coconut Oil,295.00,766.28,2598.00
Sept,2022.00,Coconut Oil,345.00,830.46,2407.00
Oct,2022.00,Coconut Oil,354.00,823.99,2328.00
Nov,2022.00,Coconut Oil,328.00,712.61,2173.00
Dec,2022.00,Coconut Oil,249.00,613.22,2463.00
Jan,2023.00,Coconut Oil,396.00,723.30,1825.00
Feb,2023.00,Coconut Oil,607.00,1233.43,2031.00
Mar,2023.00,Coconut Oil,417.00,918.95,2206.00
Apr,2023.00,Coconut Oil,300.00,673.34,2241.00
May,2023.00,Coconut Oil,558.00,1251.73,2243.00
Jun,2023.00,Coconut Oil,323.00,737.42,2285.00
Jul,2023.00,Coconut Oil,498.00,1021.80,2054.00
Aug,2023.00,Coconut Oil,366.00,804.51,2197.00
Sept,2023.00,Coconut Oil,624.00,1467.09,2350.00
Oct,2023.00,Coconut Oil,456.00,1000.75,2193.00
Nov,2023.00,Coconut Oil,506.00,1060.36,2097.00
Dec,2023.00,Coconut Oil,466.00,942.17,2021.00
Jan,2024.00,Coconut Oil,661.00,1497.58,2264.00
Feb,2024.00,Coconut Oil,486.00,1138.90,2345.00
Mar,2024.00,Coconut Oil,767.00,1729.39,2255.00
Apr,2024.00,Coconut Oil,301.00,700.17,2329.00
May,2024.00,Coconut Oil,436.00,960.21,2201.00
Jun,2024.00,Coconut Oil,539.00,1227.69,2277.00
Jul,2024.00,Coconut Oil,822.00,1881.64,2289.00
Aug,2024.00,Coconut Oil,765.00,1795.79,2348.00
Sept,2024.00,Coconut Oil,768.00,1730.62,2253.00
Oct,2024.00,Coconut Oil,567.00,1427.84,2520.00
Nov,2024.00,Coconut Oil,656.00,1779.56,2714.00
Dec,2024.00,Coconut Oil,624.00,2430.37,3895.00
Jan,2015.00,Virgin Coconut Oil,900.00,4980.57,5534.00
Feb,2015.00,Virgin Coconut Oil,1166.00,6949.98,5961.00
Mar,2015.00,Virgin Coconut Oil,1404.00,8359.69,5954.00
Apr,2015.00,Virgin Coconut Oil,1010.00,5956.37,5897.00
May,2015.00,Virgin Coconut Oil,1359.00,7849.29,5776.00
Jun,2015.00,Virgin Coconut Oil,1162.00,6821.45,5870.00
Jul,2015.00,Virgin Coconut Oil,939.00,6160.24,6560.00
Aug,2015.00,Virgin Coconut Oil,1146.00,6135.69,5354.00
Sept,2015.00,Virgin Coconut Oil,1163.00,5883.72,5059.00
Oct,2015.00,Virgin Coconut Oil,1031.00,5156.66,5002.00
Nov,2015.00,Virgin Coconut Oil,1012.00,4938.56,4880.00
Dec,2015.00,Virgin Coconut Oil,1061.00,5387.74,5078.00
Jan,2016.00,Virgin Coconut Oil,716.00,3473.94,4852.00
Feb,2016.00,Virgin Coconut Oil,879.00,4261.33,4848.00
Mar,2016.00,Virgin Coconut Oil,1257.00,5828.20,4637.00
Apr,2016.00,Virgin Coconut Oil,932.00,4367.03,4686.00
May,2016.00,Virgin Coconut Oil,1077.00,4644.24,4312.00
Jun,2016.00,Virgin Coconut Oil,1654.00,7350.34,4444.00
Jul,2016.00,Virgin Coconut Oil,1608.00,6608.61,4110.00
Aug,2016.00,Virgin Coconut Oil,1553.00,6535.18,4208.00
Sept,2016.00,Virgin Coconut Oil,1732.00,7215.14,4166.00
Oct,2016.00,Virgin Coconut Oil,1330.00,5624.37,4229.00
Nov,2016.00,Virgin Coconut Oil,1323.00,5531.18,4181.00
Dec,2016.00,Virgin Coconut Oil,1524.00,6441.31,4227.00
Jan,2017.00,Virgin Coconut Oil,1238.00,5791.45,4678.00
Feb,2017.00,Virgin Coconut Oil,946.00,4411.11,4663.00
Mar,2017.00,Virgin Coconut Oil,1489.00,7173.64,4818.00
Apr,2017.00,Virgin Coconut Oil,866.00,4378.26,5056.00
May,2017.00,Virgin Coconut Oil,976.00,4837.00,4956.00
Jun,2017.00,Virgin Coconut Oil,1233.00,6200.28,5029.00
Jul,2017.00,Virgin Coconut Oil,1495.00,7793.26,5213.00
Aug,2017.00,Virgin Coconut Oil,1432.00,7173.22,5009.00
Sept,2017.00,Virgin Coconut Oil,1226.00,6261.90,5108.00
Oct,2017.00,Virgin Coconut Oil,1156.00,5990.39,5182.00
Nov,2017.00,Virgin Coconut Oil,952.00,4944.18,5193.00
Dec,2017.00,Virgin Coconut Oil,807.00,4487.80,5561.00
Jan,2018.00,Virgin Coconut Oil,872.00,4741.66,5438.00
Feb,2018.00,Virgin Coconut Oil,819.00,4581.24,5594.00
Mar,2018.00,Virgin Coconut Oil,1114.00,6004.02,5390.00
Apr,2018.00,Virgin Coconut Oil,855.00,4671.39,5464.00
May,2018.00,Virgin Coconut Oil,963.00,4711.15,4892.00
Jun,2018.00,Virgin Coconut Oil,989.00,4826.64,4880.00
Jul,2018.00,Virgin Coconut Oil,1061.00,5589.30,5268.00
Aug,2018.00,Virgin Coconut Oil,1074.00,5128.42,4775.00
Sept,2018.00,Virgin Coconut Oil,1086.00,5165.62,4757.00
Oct,2018.00,Virgin Coconut Oil,1374.00,5700.89,4149.00
Nov,2018.00,Virgin Coconut Oil,866.00,3530.61,4077.00
Dec,2018.00,Virgin Coconut Oil,933.00,4168.10,4467.00
Jan,2019.00,Virgin Coconut Oil,,,
Feb,2019.00,Virgin Coconut Oil,,,
Mar,2019.00,Virgin Coconut Oil,,,
Apr,2019.00,Virgin Coconut Oil,,,
May,2019.00,Virgin Coconut Oil,,,
